Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,tmdb_id,tmdb_title,language
697,Jaguar,2016.0,,Action            ,"    Krishna, a young medical student, strikes against corrupt figures of power as a vigilante and tries to decribes his father's injustice death while trying to win the love of his friend's sister as a college student.",153,5.6,257,420843,Jaguar,Telugu
1258,Raja Cheyyi Vesthe,2016.0,,"Action, Romance, Thriller            ","    An aspiring film director narrates a breath-taking story to his girlfriend in a coffee shop. An unknown message knocks the door the next day, asking him to write a love story. He sends his ...                See full summary »",144,5.7,61,412119,Raja Cheyyi Vesthe,Telugu
1257,Garam,2016.0,UA,"Action, Romance            ","    An unemployed troublemaker is forced by his father to leave home and go in search of work to the city of Hyderabad, where the youngster promptly falls in love. Can he learn responsibility and protect his loved ones?",147,4.9,61,847995,Garam,Telugu
896,Oka Manasu,2016.0,U,"Drama, Musical, Romance            ","    A love story between Surya, the son of a influential politician and Sandhya, an aspiring doctor. Their love fights societal pressure.",146,5.3,137,399146,Oka Manasu,Telugu
1271,Naanna Nenu Naa Boyfriends,2016.0,UA,Family            ,    Padmavati / Paddu (Hebah Patel) is the adored daughter of Raghava Rao (Rao Ramesh). A Prophesier prophesied Raghava Rao that if he refuses to accept any of her daughter's wish then she will...                See full summary »,140,4.5,60,455358,Naanna Nenu Naa Boyfriends,Telugu
1396,Jakkanna,2016.0,,"Comedy, Drama            ",    The movie is about an attempt by Sunil the protagonist to repay a kindness earns him the wrath of a ruthless gangster Kabir Duhan Singh the antagonist who's wish is to continue his all illegal proceedings.,0,6.3,49,567148,Jakkanna,Telugu
393,Majnu,2016.0,UA,"Comedy, Drama, Romance            ",    An assistant director juggles relationships with two women while he writes a romantic comedy.,138,6.4,725,409254,Majnu,Telugu
311,Premam,2016.0,UA,"Comedy, Drama, Romance            ",    Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,157,6.5,964,409255,Premam,Telugu
310,Saahasam Swaasaga Saagipo,2016.0,,"Action, Romance            ",    A youngster embarks on a road trip with the love of his life until an accident causes things to get out of control.,154,6.9,970,397486,Saahasam Swaasaga Saagipo,Telugu
444,Dictator,2016.0,UA,"Action, Drama            ","    Chandu lives a normal life with his in laws in Hyderabad. One fine day, he comes across an aspiring actress Sonala helps her in a critical situation. The problems gets big and Chandu lands himself in a huge mess.",155,4.2,585,370720,Dictator,Telugu
292,Ekkadiki Pothavu Chinnavada,2016.0,,"Comedy, Fantasy, Romance            ","    Arjun(Nikhil) is a visual effect supervisor with a bad love failure. One fine day, he takes his friend(Vennela Kishore) for treatment as the latter is possessed by an evil spirit. There he ...                See full summary »",140,7.5,1056,426614,Ekkadiki Pothavu Chinnavada,Telugu
57,Janatha Garage,2016.0,UA,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,7.3,5562,405924,Janatha Garage,Telugu
279,Eedo Rakam Aado Rakam,2016.0,,"Comedy, Romance            ",    What happens when the lives of two friends take an unexpected turn? A whole lot of confusion follows. Will they be able to get out of the mess? That forms the crux of the story.,129,7.0,1123,392939,Eedo Rakam Aado Rakam,Telugu
84,Oopiri,2016.0,U,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",158,8.0,3927,369925,Oopiri,Telugu
83,Kshanam,2016.0,,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",110,8.3,4231,386427,Kshanam,Telugu
504,Supreme Khiladi,2016.0,UA,"Action, Comedy            ","    Balu (Sai Dharma Tej ), a cab driver, gets involved in a fight against the mafia when he comes across a child that the mob wants dead.",142,6.1,476,396378,Supreme,Telugu
343,Express Raja,2016.0,,"Action, Comedy, Romance            ","    After handing over his girlfriend's favorite dog to dog catchers, Raja loses his love. Now, Raja has to go on an adventurous quest to find the dog before its too late.",150,7.1,851,378774,Express Raja,Telugu
227,Gentleman,2016.0,U,"Mystery, Romance, Thriller            ","    Catherine finds herself in a web of deception and lies when she finds out that the fiance of her friend Aiswarya might not be as ""Gentleman"" as he seem.",144,7.1,1518,400247,Gentleman,Telugu
226,Nenu Sailaja,2016.0,UA,"Action, Comedy, Romance            ","    Hari (Ram), a DJ, proposes to many girls but none of them accepts his love. One day he sees a beautiful girl Sailaja (Keerthi Suresh) and she seems to like him too, but fear of rejection keeps him from speaking up.",155,6.9,1520,376998,Nenu.. Sailaja...,Telugu
87,Sarrainodu,2016.0,UA,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,159,6.4,3876,374954,Sarrainodu,Telugu
33,Nannaku Prematho,2016.0,UA,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,168,7.6,8589,365187,Nannaku Prematho...,Telugu
186,A... Aa,2016.0,U,"Comedy, Romance            ",    Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,152,6.8,1892,372399,A Aa,Telugu
466,Appatlo Okadundevadu,2016.0,,Drama            ,"    Railway Raju has just one dream: to play cricket for the Indian team. However, life throws him a googly.",125,7.8,536,434295,Appatlo Okadundevadu,Telugu
127,Anirudh,2016.0,U,"Action, Drama, Family            ","    To consolidate his position in the family, a man tries to arrange a marriage for his daughter, but the suitable boy he has in mind is already in love with another.",156,4.3,2785,371363,Brahmotsavam,Telugu
62,Dhruva,2016.0,UA,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,7.9,5346,410994,Dhruva,Telugu
377,Vismayam,2016.0,U,Drama            ,    The film narrates the life of four persons and their struggle for their survival in differnt situations..,164,7.7,759,410508,Manamantha,Telugu
190,Krishna Gaadi Veera Prema Gaadha,2016.0,UA,"Action, Comedy, Romance            ","    Krishna (Nani) is a coward who is in love with Mahalakshmi (Mehreen Pirzada) and they have kept it a secret. Mahalakshmi is sister of Ramaraju, who in turn is a henchmen of Rajayya. At the ...                See full summary »",148,7.5,1854,384420,Krishna Gaadi Veera Prema Gaadha,Telugu
