movie,year,genre,youtube_title,youtube_url
Sher,2015.0,Action            ,TEASER 1 - SHER | DANISH TAIMOOR | SARAH KHAN | COMING SOON | TOP PAKISTANI DRAMA,https://www.youtube.com/watch?v=RoBmk9FIRy4
Janda Pai Kapiraju,2015.0,"Action, Thriller            ","Janda Pai Kapiraju Movie || Theatrical Trailer || Nani, Amala Paul",https://www.youtube.com/watch?v=Q-vfhm-rKRQ
Krishnamma Kalipindi Iddarini,2015.0,"Drama, Romance            ","Krishnamma Kalipindi Iddarini Movie Trailer || Sudheer Babu, Nandhita || Sri Balaji Video",https://www.youtube.com/watch?v=KAtRf4kuMQk
Bale Bale Magadivoy,2015.0,"Comedy, Romance            ",Bhale Bhale Magadivoi Theatrical Trailer | Nani | Lavanya Tripathi | Gopi Sunder | UV Creations,https://www.youtube.com/watch?v=UZ6LvBnzLMw
Courier Boy Kalyan,2015.0,"Action, Romance, Thriller            ",Courier Boy Kalyan Theatrical Trailer | Nitin | Yami Gautam | Gautham Menon | Telugu Filmnagar,https://www.youtube.com/watch?v=BH19xEUhX2k
Singham123,2015.0,"Action, Comedy            ",Singham 123 Movie Trailer - Sampoornesh Babu | Manchu Vishnu,https://www.youtube.com/watch?v=_mAnC1W8qHY
James Bond,2015.0,"Action, Comedy            ",SKYFALL - Official Trailer,https://www.youtube.com/watch?v=6kw1UVovByw
Asura,2015.0,"Action, Drama            ",Asur Season 1 - Official Trailer | Jio Cinema | Arshad Warsi | Barun Sobti | Theatrical Trailer,https://www.youtube.com/watch?v=oveko3h4pxk
Kumari 21F,2015.0,"Drama, Romance            ","Kumari 21F Theatrical Trailer || Raj Tarun, Hebah Patel , DSP, Sukumar",https://www.youtube.com/watch?v=4Fxiqo6AUIs
Bruce Lee: The Fighter,2015.0,"Action, Comedy            ",Bruce Lee The Fighter | Theatrical Trailer | Ram Charan | Rakul Preet | Sreenu Vaitla,https://www.youtube.com/watch?v=gr3lFtOqkuc
Sankarabharanam,2015.0,Comedy            ,Sankarabharanam Telugu Movie | Latest Theatrical Trailer | Nikhil | Nanditha | Kona Venkat,https://www.youtube.com/watch?v=9GBTVifO7aI
Raju Gari Gadhi,2015.0,Horror            ,Raju Gari Gadhi 2 Theatrical Trailer | Nagarjuna | Samantha | Thaman S | Ohmkar | #RGG2Trailer,https://www.youtube.com/watch?v=ZkogUD3CtNw
Malli Malli Idhi Rani Roju,2015.0,"Musical, Romance            ",Malli Malli Idi Rani Roju Theatrical Trailer | Sharwanand | Nithya Menon,https://www.youtube.com/watch?v=KXKZbb-loBQ
Yevade Subramanyam,2015.0,"Adventure, Comedy, Drama            ","Yevade Subramanyam Official Trailer | Nani, Vijay Deverakonda, Malvika, Ritu Varma | Nag Ashwin",https://www.youtube.com/watch?v=_pqngUO_pP4
Dongata,2015.0,Comedy            ,"Dongata on aha Trailer | Fahadh Faasil, Suraj, Nimisha  | premieres May 6",https://www.youtube.com/watch?v=86nu9YnQaGo
Rey,2015.0,"Action, Music            ","Rey Movie || Trailer | Sai Dharam Tej,Saiyami Kher, Shraddha Das",https://www.youtube.com/watch?v=I8n1tkmqTvI
Dynamite,2015.0,"Action, Thriller            ",BTS (방탄소년단) 'Dynamite' Official Teaser,https://www.youtube.com/watch?v=oxoWhyS9buA
Jadoogadu,2015.0,Action            ,Jadoogadu Telugu Movie Theatrical Trailer | Naga Shourya | Sonarika Bhadoria,https://www.youtube.com/watch?v=lZYufkqgD7s
Bahubali: The Beginning,2015.0,"Action, Drama            ","Baahubali - The Beginning | Official Trailer | Prabhas, Rana Daggubati, SS Rajamouli",https://www.youtube.com/watch?v=3NQRhE772b0
Kanche,2015.0,"Action, Drama, History            ","Kanche Trailer - Varun Tej, Pragya Jaiswal | A film by Krish | 2nd October",https://www.youtube.com/watch?v=UqhrfKnAfnQ
Bhale Manchi Roju,2015.0,"Action, Romance            ",BHALE MANCHI ROJU Official Theatrical Trailer | Sudheer Babu | Sai Kumar | Wamiqa Gabbi | Sunny MR,https://www.youtube.com/watch?v=omYoZGAVT98
Columbus,2015.0,Comedy            ,Columbus Telugu Movie Teaser | Sumanth Ashwin | Mishti | Seerat Kapoor | Telugu Filmnagar,https://www.youtube.com/watch?v=aAvnXPda2vo
Jyothi Lakshmi,2015.0,Drama            ,Jyothi Lakshmi Trailer - Charmme Kaur | Puri Jagannadh,https://www.youtube.com/watch?v=zq_EP8uhhZE
Rudhramadevi,2015.0,"Action, Biography, History            ","Rudramadevi theatrical trailer | Anushka Shetty, Allu Arjun, Rana Daggubati, Krishnam Raju,",https://www.youtube.com/watch?v=uQbOYxLcGk4
Pataas,2015.0,"Action, Comedy            ","Patas Teaser - Nandamuri Kalyan Ram, Anil Ravipudi",https://www.youtube.com/watch?v=DHyZFzsZyHw
Kick 2,2015.0,"Action, Comedy, Romance            ","Kick 2 Theatrical Trailer - Ravi Teja, Rakul Preet Singh",https://www.youtube.com/watch?v=VLktIc7QX-8
Speedunnodu,2016.0,"Comedy, Romance            ","Speedunnodu Theatrical Trailer | Speedunnodu Movie | Bellamkonda Sreenivas,Sonarika | Aditya Movies",https://www.youtube.com/watch?v=BZ_OB3SQ8Uw
Nandini Nursing Home,2016.0,Comedy            ,Nandini Nursing Home Theatrical Trailer | Nawin Vijay Krishna | Nithya | Achu Rajamani,https://www.youtube.com/watch?v=OxaIXPfoRPw
Jyo Achyutananda,2016.0,"Comedy, Drama, Romance            ","Jyo Achyutananda Theatrical Trailer - Nara Rohith, Naga Shaurya, Regina, Srinivas Avasarala",https://www.youtube.com/watch?v=lISRVkhHiAE
Jayammu Nischayammuu Raa,2016.0,Comedy            ,Jayammu Nischayammu Raa Theatrical Trailer || Srinivas Reddy || Poorna,https://www.youtube.com/watch?v=qW7gzWx9IGo
Babu Bangaram,2016.0,"Action, Comedy            ","Babu Bangaram Official Trailer | Venkatesh, Nayanthara | Maruthi | Ghibran | Sithara Entertainments",https://www.youtube.com/watch?v=X_n_6DyxKPg
Selfie Raja,2016.0,Comedy            ,"Selfie Raja Theatrical Trailer - Allari Naresh, Sakshi Chaudhary & Kamna Ranawat || G Eshwar Reddy",https://www.youtube.com/watch?v=lxbVmvZJ9fM
Hyper,2016.0,"Action, Drama            ","Hyper (Prathi Intlo Okaduntaadu) Theatrical Trailer With Subtitles | Ram, Raashi Khanna | Venus",https://www.youtube.com/watch?v=kOnN8TBxZqo
Krishnashtami,2016.0,"Action, Comedy, Romance            ","Krishnashtami Theatrical Trailer ||  Sunil, Nikki Galrani, Dimple Chopade",https://www.youtube.com/watch?v=h6999cOcWz0
Seethamma Andalu Ramayya Sitralu,2016.0,"Comedy, Romance            ",Seethamma Andalu Ramayya Sitralu Theatrical trailer || Raj Tarun || Arthana || Gopi Sunder,https://www.youtube.com/watch?v=VoCkONe3ZDY
Wish You Happy Breakup,2016.0,"Comedy, Drama, Romance            ",Wish You Happy Breakup Telugu Movie Trailer | Tejaswi Madivada | Udai Kiran | Latest 2016 Movies,https://www.youtube.com/watch?v=z6oS8QC5waE
Nirmala Convent,2016.0,Romance            ,"Nirmala Convent Digital Trailer || Nagarjuna, Roshan Salur, Roshan,Shriya Sharma",https://www.youtube.com/watch?v=rSkY9AJkOcU
Okka Ammayi Thappa,2016.0,"Action, Drama, Romance            ","Okka Ammayi Thappa Theatrical Trailer || Sundeep Kishan, Nithya Menen",https://www.youtube.com/watch?v=h2OGQ9zuktQ
Savitri,2016.0,"Comedy, Drama, Family            ",Savitri Trailer | 2015 Latest Short Film | A Film By Anu Prasad | Presented By Genuine Production,https://www.youtube.com/watch?v=9VvqSFxmCpU
Kalyana Vaibhogame,2016.0,"Comedy, Drama            ",Kalyanam Kamaneeyam Trailer | Santosh Sobhan | Priya Bhavani Shankar | Anil Kumar | Sravan Bharadwaj,https://www.youtube.com/watch?v=KJGiUV2oV3o
Terror,2016.0,"Action, Thriller            ",Terror Official Trailer | Adityaa | Ranjan Shivaraam Gowda | Harsha Vardhan Raaj | Silk Manju,https://www.youtube.com/watch?v=89C_B5mUIzk
Vangaveeti,2016.0,"Action, Biography, Crime            ",RGV Vangaveeti RELEASE TRAILER | Ram Gopal Varma | 2016 Telugu Movie Trailers | Telugu Cinema,https://www.youtube.com/watch?v=eyBODiM-HYw
Thikka,2016.0,"Action, Comedy            ","Thikka Movie Theatrical Trailer || Sai Dharam Tej, Larissa, Mannara || Rohin Reddy,  SS Thaman",https://www.youtube.com/watch?v=TY6DANX9gIg
Guntur Talkies,2016.0,Comedy            ,"Guntur Talkies Theatrical Trailer - Rashmi, Shraddha Das, Praveen Sattaru | Silly Monks",https://www.youtube.com/watch?v=9RDOc772sA4
Ism,2016.0,Action            ,"ISM Theatrical Trailer || ISM Movie || Kalyanram, Puri Jagannadh, Anup Rubens",https://www.youtube.com/watch?v=Iee4t2iRyDg
Jaguar,2016.0,Action            ,Jaguar Telugu Movie Theatrical Trailer | Nikhil Kumar | Deepti Sati | Jagapathi Babu | SS Thaman,https://www.youtube.com/watch?v=EaA7aIw1dkI
Raja Cheyyi Vesthe,2016.0,"Action, Romance, Thriller            ","Raja Cheyyi Veste Theatrical Trailer || Nara Rohit, Isha, Nandamuri Taraka Ratna || Pradeep",https://www.youtube.com/watch?v=qyOF6KD_a1g
Garam,2016.0,"Action, Romance            ",Garam Telugu Movie Theatrical Trailer | Aadi | Adah Sharma | Brahmanandam | Madan,https://www.youtube.com/watch?v=C75W-Yr0s-w
Oka Manasu,2016.0,"Drama, Musical, Romance            ","Oka Manasu Theatrical Trailer | Naga Shaurya, Niharika Konidela",https://www.youtube.com/watch?v=sZtEAczB7sg
Naanna Nenu Naa Boyfriends,2016.0,Family            ,"Nanna Nenu Naa Boyfriends Theatrical Trailer - Rao Ramesh, Hebah Patel, Tejaswi Madivada",https://www.youtube.com/watch?v=cgis_ViyFj8
Jakkanna,2016.0,"Comedy, Drama            ",Sunil Jakkanna Movie Theatrical Trailer | Sunil | Mannara Chopra | Sapthagiri | Telugu Filmnagar,https://www.youtube.com/watch?v=C1O_PXMrgBU
Majnu,2016.0,"Comedy, Drama, Romance            ","Majnu Trailer || Majnu Official Trailer || Nani, Anu Immanuel || Gopi Sunder || Telugu Trailer 2016",https://www.youtube.com/watch?v=txlIbUaGYpg
Premam,2016.0,"Comedy, Drama, Romance            ",Premam Re-release Teaser  | Nivin Pauly | Sai Pallavi | Alphonse Puthren  | Rajesh Murugesan,https://www.youtube.com/watch?v=tRQeIsxaBkg
Saahasam Swaasaga Saagipo,2016.0,"Action, Romance            ",Saahasam Swaasaga Saagipo Theatrical Trailer | AR Rahman | Naga Chaitanya | Gautham Menon #SSSMovie,https://www.youtube.com/watch?v=9kd3lOprII8
Dictator,2016.0,"Action, Drama            ",The Dictator - Official Trailer,https://www.youtube.com/watch?v=cYplvwBvGA4
Ekkadiki Pothavu Chinnavada,2016.0,"Comedy, Fantasy, Romance            ",Ekkadiki Pothavu Chinnavada Movie Theatrical Trailer | Nikhil | Hebah Patel | Vennela Kishore,https://www.youtube.com/watch?v=M0DGQYWWmUg
Janatha Garage,2016.0,"Action, Drama            ",Janatha Garage Telugu Theatrical Trailer | Jr NTR | Mohanlal | Samantha | Nithya | Koratala Siva,https://www.youtube.com/watch?v=7O4Hm070Bc8
Eedo Rakam Aado Rakam,2016.0,"Comedy, Romance            ","Eedo Rakam Aado Rakam Theatrical Trailer || Manchu Vishnu, Raj Tarun, Hebbah Patel, Sonarika",https://www.youtube.com/watch?v=kN3ynPsBdDo
Oopiri,2016.0,"Comedy, Drama            ",Oopiri Theatrical Trailer | Nagarjuna | Karthi | Tamannaah | Gopi Sundar | Vamsi Paidipally,https://www.youtube.com/watch?v=e1ddsJ38D5Q
Kshanam,2016.0,Thriller            ,"Kshanam Trailer - Adivi Sesh, Adah Sharma, Anasuya Bharadwaj | 26th FEB 2016",https://www.youtube.com/watch?v=OroFSmQQm1U
Supreme Khiladi,2016.0,"Action, Comedy            ","Supreme Theatrical Trailer - Sai Dharam Tej, Rashi Khanna | Dil Raju, Anil Ravipudi",https://www.youtube.com/watch?v=Fs0yQqJVdWo
Express Raja,2016.0,"Action, Comedy, Romance            ",Express Raja Theatrical Trailer | Sharwanand | Surabhi | Merlapaka Gandhi | UV Creations,https://www.youtube.com/watch?v=vtnKfhqEumk
Gentleman,2016.0,"Mystery, Romance, Thriller            ","A GENTLEMAN - Sundar, Susheel, Risky | Official Trailer | Sidharth | Jacqueline | Raj & DK",https://www.youtube.com/watch?v=IMXifj-peiQ
Nenu Sailaja,2016.0,"Action, Comedy, Romance            ",Nenu Sailaja Theatrical Trailer - Ram || Keerthy Suresh || DSP,https://www.youtube.com/watch?v=BZW3VVJe3Nc
